"State","County","Number of providers with 30-patient waivers","Number of providers with 100-patient waivers","Number of providers with 275-patient waivers","Total number of waivered providers","Patient capacity","Patient capacity rate","High need for treatment services","Low-to-no patient capacity"
"Oregon","Lane County","57","8","5","70","3,885","1,051.37","Yes","No"
"Oregon","Lincoln County","7","2","0","9","410","857.63","Yes","No"
"Oregon","Linn County","11","1","1","13","705","573.88","Yes","No"
"Oregon","Malheur County","3","0","0","3","90","295.67","Yes","Yes"
"Oregon","Marion County","38","4","3","45","2,365","703.21","No","No"
"Oregon","Morrow County","0","1","0","1","100","887","No","No"
"Oregon","Multnomah County","244","42","13","299","15,095","1,887.43","No","No"
"Oregon","Polk County","8","2","0","10","440","537.75","No","No"
"Oregon","Sherman County","0","0","0","0","0","0","No","Yes"
"Oregon","Tillamook County","1","0","0","1","30","114.75","Yes","Yes"
"Oregon","Umatilla County","2","0","0","2","60","78.48","Yes","Yes"
"Oregon","Union County","14","2","1","17","895","3,430.83","Yes","No"
"Oregon","Wallowa County","1","3","0","4","330","4,750.94","Yes","No"
"Oregon","Wasco County","11","1","0","12","430","1,646.56","Yes","No"
"Oregon","Washington County","55","18","4","77","4,550","780.74","No","No"
"Oregon","Wheeler County","0","0","0","0","0","0","No","Yes"
"Oregon","Yamhill County","14","2","0","16","620","590.28","No","No"
"Pennsylvania","Adams County","9","3","2","14","1,120","1,096.1","No","No"
"Pennsylvania","Allegheny County","268","96","86","450","41,290","3,369.61","No","No"
"Pennsylvania","Armstrong County","5","2","2","9","900","1,353.67","No","No"
"Pennsylvania","Beaver County","12","6","8","26","3,160","1,887.37","No","No"
"Pennsylvania","Bedford County","2","1","0","3","160","331.09","No","Yes"
"Pennsylvania","Berks County","39","7","7","53","3,795","914.87","No","No"
"Pennsylvania","Blair County","13","6","3","22","1,815","1,456.08","Yes","No"
"Pennsylvania","Bradford County","4","2","2","8","870","1,431.63","No","No"
"Pennsylvania","Bucks County","59","21","13","93","7,445","1,188.54","No","No"
"Pennsylvania","Butler County","30","18","26","74","9,850","5,271.69","No","No"
"Pennsylvania","Cambria County","24","5","4","33","2,320","1,721.94","Yes","No"
"Pennsylvania","Cameron County","0","1","0","1","100","2,138.12","No","No"
"Pennsylvania","Carbon County","3","4","0","7","490","770.51","No","No"
