Fiscal Year,County,Adult Disabled 18-64: Population,Adult Disabled 18-64: % of Population,65 and older: Population,65 and older: % of Population,Total Population
2020,Hardin,4897,9,10277,18,56486
2020,Harris,242196,5,528970,11,4978845
2020,Harrison,4398,6,11789,17,68247
2020,Hartley,310,5,934,15,6067
2020,Haskell,803,13,1374,22,6197
2020,Hays,11394,5,31000,13,234896
2020,Hemphill,365,8,651,14,4644
2020,Henderson,6976,9,18768,23,81179
2020,Hidalgo,54711,6,102326,12,870366
2020,Hill,2844,8,7833,22,35673
2020,Hockley,1755,7,3811,15,24636
2020,Hood,2572,4,15325,26,58643
2020,Hopkins,2612,7,7536,20,37040
2020,Houston,1957,9,4920,22,22620
2020,Howard,3917,9,5166,13,41236
2020,Hudspeth,463,14,777,23,3400
2020,Hunt,7743,8,16695,18,95324
2020,Hutchinson,2077,10,3678,17,21461
2020,Irion,74,5,396,26,1508
2020,Jack,860,10,1535,17,8841
2020,Jackson,1390,9,2940,18,15899
2020,Jasper,2488,7,7331,21,35525
2020,Jeff Davis,115,5,756,36,2113
2020,Jefferson,19485,8,38501,15,258678
2020,Jim Hogg,406,8,899,18,5077
2020,Jim Wells,3162,7,6933,16,42890
2020,Johnson,8670,5,26724,16,171701
2020,Jones,2316,12,3160,16,19735
2020,Karnes,910,6,2507,16,15393
2020,Kaufman,8644,7,18131,14,125134
2020,Kendall,2439,5,9830,21,46278
2020,Kenedy,27,6,115,24,476
2020,Kent,115,14,251,32,795
2020,Kerr,4017,8,14310,27,52267
2020,Kimble,308,7,1316,30,4344
2020,King,35,11,72,23,309
2020,Kinney,451,13,857,25,3462
2020,Kleberg,2132,7,4508,15,30987
2020,Knox,331,8,882,22,3937
2020,Lamar,4427,9,10411,21,50014
2020,Lamb,939,7,2482,19,12776
2020,Lampasas,2391,11,4540,22,21037
2020,La Salle,810,10,1366,16,8309
2020,Lavaca,1103,5,4587,22,20735
2020,Lee,882,5,3490,20,17595
2020,Leon,1620,9,4334,24,17707
2020,Liberty,7457,9,13170,15,85284
2020,Limestone,1898,8,4766,20,23544
2020,Lipscomb,220,6,728,20,3651
2020,Live Oak,1232,10,2629,22,12030
2020,Llano,1956,10,6739,35,19452
2020,Loving,11,12,35,38,92
2020,Lubbock,22749,7,43043,14,317210
2020,Lynn,677,12,1031,18,5588
2020,Madison,1120,8,2334,16,14527
2020,Marion,887,9,2640,26,10294
2020,Martin,222,4,936,15,6044
2020,Mason,180,5,1198,31,3899
2020,Matagorda,2645,7,6610,18,37064
2020,Maverick,4291,7,8069,13,59938
2020,McCulloch,742,9,2143,25,8660
2020,McLennan,16544,7,38133,15,253066
2020,McMullen,59,8,280,36,783
2020,Medina,4232,8,8790,17,50594
2020,Menard,219,10,717,33,2188
2020,Midland,9780,5,18060,10,187364
2020,Milam,2123,9,5473,22,24635
2020,Mills,419,9,1387,28,4870
2020,Mitchell,652,7,1739,18,9865
2020,Montague,1985,10,4449,23,19199
2020,Montgomery,29339,5,87049,14,613951
2020,Moore,884,4,2596,12,21575
2020,Morris,1180,9,2964,24,12448
2020,Motley,54,5,399,34,1172
2020,Nacogdoches,6082,9,10547,16,64106
2020,Navarro,4149,9,9052,19,47985
2020,Newton,1337,10,2830,21,13724
2020,Nolan,1437,9,2905,19,15642
2020,Nueces,25882,7,55377,14,383718
2020,Ochiltree,598,5,1344,12,11309
2020,Oldham,62,3,453,21,2200
2020,Orange,7021,8,15816,18,86155
2020,Palo Pinto,2485,9,5727,21,27859
2020,Panola,1841,7,4851,20,24576
2020,Parker,7790,6,24652,18,135621
2020,Parmer,562,6,1378,15,9200
2020,Pecos,851,5,2310,14,16533
2020,Polk,5493,11,10046,20,49080
2020,Potter,7788,6,17606,14,122706
2020,Presidio,458,8,1371,23,5906
2020,Rains,942,8,2812,25,11378
2020,Randall,7579,5,22009,16,138104
2020,Reagan,116,3,616,15,4226
2020,Real,287,8,1120,33,3407
2020,Red River,1033,8,3176,25,12610
2020,Reeves,875,6,2079,13,15707
2020,Refugio,627,8,1823,24,7573
2020,Roberts,68,7,249,25,983
2020,Robertson,1301,8,3413,20,16888
2020,Rockwall,3910,4,14503,14,102243
2020,Runnels,795,7,2546,23,11009
2020,Rusk,3630,7,9318,18,52767
2020,Sabine,1265,13,2978,30,9936
2020,San Augustine,960,11,2334,28,8405
2020,San Jacinto,3092,11,6411,22,28844
2020,San Patricio,5103,7,11561,16,71325
2020,San Saba,377,6,1459,25,5873
2020,Schleicher,146,4,671,20,3312
2020,Scurry,1208,7,2764,15,18368
2020,Shackelford,344,10,711,21,3405
2020,Shelby,2102,8,4567,18,25545
2020,Sherman,247,8,577,18,3276
2020,Smith,15789,7,40042,17,235143
