"fips","Name","pov_perc_all","pov_perc_under_18","Alcohol_Abuse","Autism_Spectrum_Disorders","Depression","Drug_Abuse_Substance_Abuse","Schizophrenia_Other_Psychotic_Disorders","total_pop","total_jail_pop","total_jail_pretrial","unemployment","X2020.Total.Population","X2020.LCDC.Total","Ratio.of.LCDCs.to.100.000.Population","X2020.LCSW.Total","Ratio.of.LCSWs.to.100.000.Population","X2020.LPC.Total","Ratio.of.LPCs.to.100.000.Population","X2020.LBSW.Total","Ratio.of.LBSWs.to.100.000.Population","X2020.LMSW.Total","Ratio.of.LMSWs.to.100.000.Population","X2020.Primary.Care.Physician.Total","Ratio.of.Primary.Care.Physicians.to.100.000.Population","MSA_type","Central_Outlying","CBSA.Code","CBSA.Title","CBSA.level","RUCC_2013","State","NCHS_2013","UIC_2013","opioid_per_100","alc_est_per_capita","vet_percent_2020","percent_uninsured","I_35","percent_comp"
"48091","Comal","7.5","9.4000000000000004",1.5732,0.1675,15.4022,2.5577,1.6341,148373,282,196,"     3.1","147,330","18",12.2,"52",35.3,"145",98.4,"16",10.9,"56",38,"112",76,"Metropolitan Statistical Area","Central","41700","San Antonio-New Braunfels, TX","Metropolitan Statistical Area-Central",1,"TX",2,1,32.6,22.9100748602176,8.33431371941969,11.9103357195854,"I-35 Corridor",0.973684210526316
"48093","Comanche","15.9","24",1.2505,NA,17.7413,1.3286,2.0711,13534,42,29,"     3.0","13,075","4",30.6,"1",7.6,"5",38.2,"9",68.8,"1",7.6,"12",91.8,NA,NA,NA,NA,NA,7,"TX",6,9,52.1,NA,6.56907459173165,27.9468238353729,"Non I-35 Corridor",0.789473684210526
"48095","Concho","13.5","20.899999999999999",NA,0,16.7002,2.6157,2.8169,4276,14.02,8.34,"     2.6","4,147","0",0,"0",0,"0",0,"0",0,"0",0,"1",24.1,NA,NA,NA,NA,NA,8,"TX",6,6,1.1,NA,5.32848925219497,24.1987973451614,"Non I-35 Corridor",0.789473684210526
"48097","Cooke","11.300000000000001","16.100000000000001",1.6189,NA,16.4496,2.9959,2.3074,40574,70,38,"     3.1","39,727","5",12.6,"3",7.6,"24",60.4,"15",37.8,"2",5,"17",42.8,"Micropolitan Statistical Area","Central","23620","Gainesville, TX","Micropolitan Statistical Area-Central",6,"TX",5,3,31.5,NA,6.42219448977633,24.2695182561874,"Non I-35 Corridor",0.921052631578947
"48099","Coryell","12.699999999999999","16.800000000000001",2.5535,0.2461,20.12,4.9223,2.6611,74808,77,74,"     4.1","78,317","28",35.8,"34",43.4,"62",79.2,"11",14,"31",39.6,"21",26.8,"Metropolitan Statistical Area","Central","28660","Killeen-Temple, TX","Metropolitan Statistical Area-Central",2,"TX",3,2,14.3,3.61041242944652,14.839998555835,12.8642752766609,"Non I-35 Corridor",0.973684210526316
"48101","Cottle","17.899999999999999","31.699999999999999",NA,0,11.5789,0,NA,1389,NA,NA,"     3.0","1,510","0",0,"0",0,"0",0,"0",0,"0",0,"0",0,NA,NA,NA,NA,NA,9,"TX",6,12,NA,NA,4.42028985507246,21.9790354371071,"Non I-35 Corridor",0.684210526315789
"48103","Crane","9","12.9",2.9557,NA,19.2118,2.7094,3.9409,4794,12,3,"     6.3","6,209","0",0,"0",0,"0",0,"0",0,"0",0,"2",32.2,NA,NA,NA,NA,NA,6,"TX",6,6,14.6,NA,3.55080213903743,24.4458824396133,"Non I-35 Corridor",0.789473684210526
"48105","Crockett","12.4","17.699999999999999",NA,0,10.7724,NA,2.6423,3499,30,10,"     4.5","4,040","0",0,"0",0,"1",24.8,"0",0,"0",0,"1",24.8,NA,NA,NA,NA,NA,7,"TX",6,11,26.6,NA,5.87475790832795,24.1987973451614,"Non I-35 Corridor",0.763157894736842
"48107","Crosby","19.800000000000001","30.300000000000001",2.2107,NA,17.6853,2.0806,3.1209,5779,8,10,"     3.6","6,464","0",0,"0",0,"3",46.4,"3",46.4,"1",15.5,"1",15.5,"Metropolitan Statistical Area","Outlying","31180","Lubbock, TX","Metropolitan Statistical Area-Outlying",2,"TX",3,2,17.4,NA,4.71459185661407,27.2771567106247,"Non I-35 Corridor",0.921052631578947
"48109","Culberson","18.600000000000001","29.399999999999999",NA,0,12.3249,NA,NA,2204,10,0,"     2.9","2,245","1",44.5,"1",44.5,"0",0,"0",0,"0",0,"2",89.1,NA,NA,NA,NA,NA,9,"TX",6,12,71.9,NA,5.53016453382084,24.4458824396133,"Non I-35 Corridor",0.736842105263158
"48111","Dallam","11.1","16",NA,0,9.2375,1.6129,2.0528,7200,17.9,10.85,"     1.8","7,237","0",0,"0",0,"0",0,"1",13.8,"0",0,"0",0,NA,NA,NA,NA,NA,7,"TX",6,11,19.4,NA,5.34082923401265,23.2821360230446,"Non I-35 Corridor",0.789473684210526
"48113","Dallas","13.699999999999999","20.100000000000001",1.897,0.1674,19.7851,3.8785,3.1388,2637772,5210,4005,"     3.7","2,734,111","505",18.5,"972",35.6,"2,535",92.7,"307",11.2,"1,224",44.8,"2,424",88.7,"Metropolitan Statistical Area","Central","19100","Dallas-Fort Worth-Arlington, TX","Metropolitan Statistical Area-Central",1,"TX",1,1,45.9,8.7238032415051,4.07822496622396,21.4845776557922,"Non I-35 Corridor",0.973684210526316
"48115","Dawson","18.699999999999999","24.399999999999999",1.0566,NA,12.3679,1.4916,1.9267,12619,39,20,"     4.6","13,592","0",0,"2",14.7,"4",29.4,"3",22.1,"2",14.7,"6",44.1,"Micropolitan Statistical Area","Central","29500","Lamesa, TX","Micropolitan Statistical Area-Central",7,"TX",5,8,9.1,NA,3.71708413615928,24.1987973451614,"Non I-35 Corridor",0.921052631578947
"48117","Deaf Smith","15.5","22.600000000000001",1.2848,0,11.4026,1.6595,1.9807,18760,73,41,"     2.5","18,143","0",0,"1",5.5,"6",33.1,"8",44.1,"5",27.6,"6",33.1,"Micropolitan Statistical Area","Central","25820","Hereford, TX","Micropolitan Statistical Area-Central",6,"TX",5,5,4.9,NA,2.85745035785395,23.2821360230446,"Non I-35 Corridor",0.947368421052632
"48119","Delta","14.300000000000001","21.5",NA,NA,15.8849,3.9446,3.9446,5349,17,6,"     3.6","5,367","0",0,"0",0,"3",55.9,"0",0,"1",18.6,"0",0,NA,NA,NA,NA,NA,8,"TX",6,4,4.2,NA,7.83938814531549,20.7215860486031,"Non I-35 Corridor",0.763157894736842
"48121","Denton","6.9000000000000004","7.5999999999999996",1.4876,0.2331,18.8744,2.7137,2.3043,859064,1188,781,"     2.9","897,953","146",16.3,"211",23.5,"941",104.8,"89",9.9,"322",35.9,"496",55.2,"Metropolitan Statistical Area","Outlying","19100","Dallas-Fort Worth-Arlington, TX","Metropolitan Statistical Area-Outlying",1,"TX",2,1,30.7,6.50910944350424,4.76025515709019,12.2009098529816,"Non I-35 Corridor",0.973684210526316
"48123","DeWitt","20.5","27.600000000000001",1.801,NA,16.1172,5.0061,2.8083,20187,115,60,"     3.1","21,737","0",0,"3",13.8,"11",50.6,"1",4.6,"6",27.6,"13",59.8,NA,NA,NA,NA,NA,6,"TX",6,6,34.8,NA,6.10371267150928,19.5224091410637,"Non I-35 Corridor",0.789473684210526
